name,website,email,phone,location_link,raw_text
"KUS & Associates, Chartered Accountants",,,985-1188058,https://maps.app.goo.gl/9cczbQT3jbe5WSo9A,"KUS & Associates, Chartered Accountants
No reviews
Auditor · 6XCM+2FW, Ganeshman Sinha Maarga
Open ·"
BK Agrawal & Co.,https://www.crowe.com/np,,01-4581865,https://maps.app.goo.gl/wuz7hW1PTdFHcLW48,"BK Agrawal & Co.
4.8
Accounting firm ·  · P87R+73G 122, ""Saraswati Vatika, 7 Ward
Open · Closes 6 P"
"GFCS Corporate Advisors । Account, Audit, Tax, Legal",https://gfcsnepal.com/,gfcs.nil@gmail.com,980-2360825,https://maps.app.goo.gl/7P8XsJpKcVNGnUc59,"GFCS Corporate Advisors । Account, Audit, Tax, Legal
4.8
Accounting firm · Swatantra Marg
Open · Clo"
Smart Accounting Pvt. Ltd,http://smartaccounting.com.np/,contact@smartaccounting.com.np,980-3529041,https://maps.app.goo.gl/ztfiTiMayorpVvJd7,"Smart Accounting Pvt. Ltd
4.9
Accounting firm · Kareshwor Marga
Open · Closes 5 PM · 980-3529041

W"
G Sigdel & Co,,,,https://maps.app.goo.gl/fuHmBCat6qnNm5Mu6,"G Sigdel & Co
No reviews
Accounting firm · 83 BP marg
Open · Closes 6 PM

Directions"
NBSM & Associates,http://www.nbsm.com.np/,info@nbsm.com.np,01-4533069,https://maps.app.goo.gl/v5BxG4TxpzTCwu7v8,"NBSM & Associates
4.6
Accounting firm
Open · Closes 6 PM · 01-4533069

Website

Directions"
"Joshi & Bhandary, Chartered Accountants (After merging with Bidur Associates, Chartered Accountants)",http://www.jb.com.np/,jb@jb.com.np,985-1238754,https://maps.app.goo.gl/pHUmYwfYUqkG55zR6,"Joshi & Bhandary, Chartered Accountants (After merging with Bidur Associates, Chartered Accountants)"
S. R. Pandey & Company,,,01-2104600,https://maps.app.goo.gl/h3R5kJNLvucBAxHY7,"S. R. Pandey & Company
4.8
Chartered accountant · Nabil Galli
Open · Closes 5:35 PM · 01-2104600

D"
Entrepreneurs Accountants,https://entrepreneursaccountants.com/,info@entrepreneursaccountants.com,974-9821936,https://maps.app.goo.gl/Lg6N5NbHLa7eD2YG9,"Entrepreneurs Accountants
4.5
Accountant · Basantagar, Machhapokhari
Open · Closes 5:30 PM · 974-982"
कर संसार,https://www.karsansar.com/,info@karsansar.com,981-3251325,https://maps.app.goo.gl/dA21RhU52sHC55aHA,"कर संसार
4.9
Corporate office
Open · Closes 6 PM · 981-3251325

Website

Directions"
Bhanu Poudel & Associates,http://www.bpaca.com.np/,bhanu@bpaca.com.np,984-1986326,https://maps.app.goo.gl/Dbf6npDt2ECK1RLD9,"Bhanu Poudel & Associates
5.0
Certified public accountant · Manohar Awas Chetra, Tokha
Open · Closes"
SAR Associates,http://www.sar.com.np/,info@sar.com.np,01-4420807,https://maps.app.goo.gl/f922Vbpi3qqrvNAH9,"SAR Associates
4.3
Tax preparation service ·  · 64 Bishal Basti ""Ka
Open · Closes 6 PM · 01-4420807"
P. L. Shrestha & Co.,http://pls.com.np/,info@pls.com.np,01-4720983,https://maps.app.goo.gl/wN43pfM4s46gNKSj8,"P. L. Shrestha & Co.
5.0
Accounting firm · Nabil Galli
Open · Closes 5:30 PM · 01-4720983

Website
"
PAUDYAL PRAJWAL & ASSOCIATES,,,985-6042522,https://maps.app.goo.gl/wHWq9nJSQFTfE4XXA,"PAUDYAL PRAJWAL & ASSOCIATES
5.0
Certified public accountant · 100, Khorelthar
Open · Closes 7 PM · "
S. Rajan Associates,https://www.srajan.com.np/,contact@srajan.com.np,984-5610518,https://maps.app.goo.gl/8UfNpYrrvq2Ugs38A,"S. Rajan Associates
5.0
Chartered accountant · Near Brahm Chowk, Murli Bagaicha Infront of NINOS Sch"
"B Aryal & Associates, Chartered Accountants",http://baryal.com.np/,,985-1319293,https://maps.app.goo.gl/3mKrcn9YD1hPTsdFA,"B Aryal & Associates, Chartered Accountants
5.0
Auditor · Fifth Floor, Muktinath Dev Bank Building, "
Bhuwan Khadka & Associates Chartered Accountants,,,985-6075755,https://maps.app.goo.gl/xvihXBDLJffqrTUg7,"Bhuwan Khadka & Associates Chartered Accountants
5.0
Auditor
Open 24 hours · 985-6075755

Direction"
Gateway Accounting Services,http://gatewayaccountings.com/,webmaster@gatewayaccountings.com,980-6132666,https://maps.app.goo.gl/7Dfk3mDQ57ijG3a96,"Gateway Accounting Services
4.2
Certified public accountant · Kageswori Manohara-8
Open · Closes 9 P"
"G. P. Rajbahak & Co., Chartered Accountants",http://www.gpr.com.np/,info@gpr.com.np,01-4224111,https://maps.app.goo.gl/ZEMZQYmcWhYdn79v6,"G. P. Rajbahak & Co., Chartered Accountants
4.5
Business management consultant · 
Open · Closes 6 P"
Meta Accountancy Pvt. Ltd,,,,https://maps.app.goo.gl/AxWTDVJtpiuVkPi68,"Meta Accountancy Pvt. Ltd
5.0
Accounting firm · behind Radisson Hotel, Nava Marg
Open · Closes 7 PM
"
Sona Accounting and Auditing Standards Pvt. Ltd,https://saasnepal.co/,,984-5122260,https://maps.app.goo.gl/wwCmDM4PhavbwZ1x9,"Sona Accounting and Auditing Standards Pvt. Ltd
5.0
Accounting firm · 2nd floor, Province 02, Rungta"
PKF T. R. Upadhya & Co.,http://pkf.trunco.com.np/,trunco@ntc.net.np,01-4410927,https://maps.app.goo.gl/iFQ9kb8J85Ry5Mpm6,"PKF T. R. Upadhya & Co.
3.9
Accountant ·  · 124 Lal Colony Marga
Open · Closes 5 PM · 01-4410927

"
fresh accounting nepal,https://www.freshaccounting.biz/,hello@freshaccounting.biz,+852-229-508,https://maps.app.goo.gl/EzpogYECqFi6b6kX6,"fresh accounting nepal
No reviews
Accounting firm · 4th Floor, 31, 146 Janasahayogi Margh
Open · Clo"
"AUDIT FIRM , C.A. SUBHASH KHANDELWAL",http://www.sknco.com.np/,,051-528647,https://maps.app.goo.gl/3H5kGPByq9dSzmcw7,"AUDIT FIRM , C.A. SUBHASH KHANDELWAL
5.0
Corporate office · 2V6H+736, Street Number 2
Open · Closes "
Royal Accounting & Consulting P. Ltd.,http://www.rolacon.com/,info@rolacon.com,25202025,https://maps.app.goo.gl/ZeKZMT3AnceK3Zna8,"Royal Accounting & Consulting P. Ltd.
4.9
Auditor ·  · MFC8+C5F
Open · Closes 5 PM

Website

Dire"
𝗔𝗻𝗶𝗹 𝗞𝘂𝗺𝗮𝗿 𝗧𝘂𝗹𝘀𝘆𝗮𝗻 & 𝗖𝗼 𝗟𝗟𝗣- Certified Chartered Accountants Firm in Varanasi,http://www.caakt.com/,tulsyanvns2@gmail.com,+91 94152 0224,https://maps.app.goo.gl/tGPkLaZVpe8JjqjeA,"𝗔𝗻𝗶𝗹 𝗞𝘂𝗺𝗮𝗿 𝗧𝘂𝗹𝘀𝘆𝗮𝗻 & 𝗖𝗼 𝗟𝗟𝗣- Certified Chartered Accountants Firm in Varanasi
4.9
Accounting firm · "
RajMS & Co;,,,01-5260999,https://maps.app.goo.gl/tnj4LFUDFBSJ8R9R8,"RajMS & Co;
4.5
Auditor · Mitra Road, C-11, Chakupat-10, Lalitpur
Open · Closes 5 PM · 01-5260999

"
B & K Associates,,,,https://maps.app.goo.gl/iHCUT7au5R5EXHxk7,"B & K Associates
5.0
Chartered accountant · M8WJ+V78
Open · Closes 6 PM

Directions"
Matrix Accounting Consultancy,,,982-5637632,https://maps.app.goo.gl/bmchnodGyYkP6iCe6,"Matrix Accounting Consultancy
5.0
Accounting firm · Shanti Binayak Marg
Open · Closes 7 PM · 982-563"
N. Amatya & Co.,,,01-4010660,https://maps.app.goo.gl/82owXvbheBSSDzDr6,"N. Amatya & Co.
4.8
Chartered accountant ·  · House no. 409, P8RF+R8Q Indrapuri Colony
Open · Close"
Guru & Associates,https://guruandassociates.com/,guruandassociates01@gmail.com,986-8200880,https://maps.app.goo.gl/W7pQcJEtroZ9X3Ky5,"Guru & Associates
5.0
Auditor · gayatri mandir, Aadarsha Marga
Open · Closes 5:30 PM · 986-8200880
"
Nepal Accountancy Company Pvt. Ltd.,,,01-4532562,https://maps.app.goo.gl/5QqQhkHcMrCT63nM9,"Nepal Accountancy Company Pvt. Ltd.
4.3
Accounting firm · Kandevtathan
Open · Closes 5 PM · 01-45325"
Bijay S. Parajuli Associates,,,985-1275295,https://maps.app.goo.gl/DNPbcCScAeDu9H9h8,"Bijay S. Parajuli Associates
5.0
Accounting firm · M8PX+Q4H
Open · Closes 5 PM · 985-1275295

Direc"
K. K. Outsourcing Pvt Ltd,https://kko.com.np/,info@kko.com.np,963942747602,https://maps.app.goo.gl/H592XsadLS1nvXQq7,"K. K. Outsourcing Pvt Ltd
5.0
Accounting firm · Rudra Mati Marg
Open · Closes 6 PM

Website

Direc"
SS Account & Tax Consultant,,,982-0939101,https://maps.app.goo.gl/FNttGauQEGZ6fyHq5,"SS Account & Tax Consultant
5.0
Accountant · Near
Open · Closes 5 PM · 982-0939101

Directions"
Suvod Associates,http://www.suvodassociates.com.np/,info@suvodassociates.com,01-5242214,https://maps.app.goo.gl/18gwxZz3y31Ts2YS7,"Suvod Associates
4.3
Tax attorney ·  · Ganesh Marga
Open · Closes 5:30 PM · 01-5242214

Website

"
CA Amresh Pande & Co.- Chartered Accountant/Income Tax/GST Consultant/Company Formation/Best CA in Faizabad,https://caamreshpandeandco.in/,caamreshpandeandco@gmail.com,+91 82994 7791,https://maps.app.goo.gl/GJ9CMFN8WRBv4VMA6,CA Amresh Pande & Co.- Chartered Accountant/Income Tax/GST Consultant/Company Formation/Best CA in F
CA firm Mukesh Raj & co.,http://www.mukeshraj.com/,mukesh@mukeshraj.com,+91 99354 1704,https://maps.app.goo.gl/JijAfJAmEigpmQVi9,"CA firm Mukesh Raj & co.
4.9
Certified public accountant · 215, 2nd Floor, Prince Complex, Naval Kis"
Audit firm,,,980-2360823,https://maps.app.goo.gl/3xuXb1JjNqUZypfd7,"Audit firm
5.0
Financial audit · P7FX+M7R, Swatantra Marg
Open 24 hours · 980-2360823

Directions"
Best Tax & Accounting Management,https://docs.google.com/forms/d/e/1FAIpQLScV1al_2qBodb3eu5IVMgf3GWp4vGRl1VuJj9KFZgLQ6RTczA/viewform?usp=header,,981-9756332,https://maps.app.goo.gl/HGQ7tBm7zJeDx4fj6,"Best Tax & Accounting Management
5.0
Accounting firm
Open · Closes 7 PM · 981-9756332

Website

Di"
M Pokharel & Associates,,,980-3932807,https://maps.app.goo.gl/55Hb9LBdn4m5Xjyt7,"M Pokharel & Associates
5.0
Auditor
Open · Closes 6 PM · 980-3932807

Directions"
G R and Associates,https://www.facebook.com/profile.php?id=100086212285696,,01-5158163,https://maps.app.goo.gl/QSQcs96nPMZt8gQY9,"G R and Associates
4.8
Accounting firm · 11 Baniyatar Rd
Open 24 hours · 01-5158163

Website

Dire"
नेपाल चार्टर्ड एकाउन्टेन्स संस्था,https://ican.org.np/,goma@ican.org.np,5430730,https://maps.app.goo.gl/sxbH5UorDtT6F1idA,"नेपाल चार्टर्ड एकाउन्टेन्स संस्था
4.2
Open · Closes 5 PM

Website

Directions"
Aayam Business Advisory and Consultant Pvt. Ltd.,,,986-3589543,https://maps.app.goo.gl/AMT7Ea3eKKrzaRDh8,"Aayam Business Advisory and Consultant Pvt. Ltd.
5.0
Accounting firm · Balkot-2
Open · Closes 9 PM ·"
K.J. & Associates,http://www.kjassociates.com.np/,info@cajsr.com,525252,https://maps.app.goo.gl/fTksi2SxbhxEWZav9,"K.J. & Associates
4.9
Chartered accountant ·  · Pulchowk Rd
Open · Closes 5 PM

Website

Directio"
All Accounting Solutions,,,984-3771785,https://maps.app.goo.gl/hAXqdqKupPWpNkhm9,"All Accounting Solutions
5.0
Accounting firm · JGP9+5XX
Open 24 hours · 984-3771785

Directions"
Nepal Accounting and Management Services Pvt.Ltd.,,,985-1126545,https://maps.app.goo.gl/gFDH7DWsx5AnzgyXA,"Nepal Accounting and Management Services Pvt.Ltd.
5.0
Accounting firm · M8MQ+H78, Shrinagar Madhya M"
J.B. Rajbhandary & DiBins,http://www.jbrdibins.com.np/,info@jbrdibins.com.np,01-5347177,https://maps.app.goo.gl/5dZ3VULPDJG7kMcc9,"J.B. Rajbhandary & DiBins
3.7
Certified public accountant ·  · Ward No.5, 181 Kumaripati Jagannath "
Global Accounting & Tax Consultancy Pvt. Ltd.,,,986-1193394,https://maps.app.goo.gl/5NmYGhgNAAXz8Yzc8,"Global Accounting & Tax Consultancy Pvt. Ltd.
5.0
Accounting firm
Open · Closes 7 PM · 986-1193394
"
SDR Associates,http://sdr.com.np/,sdr@sdr.com.np,01-5350625,https://maps.app.goo.gl/KCjJ2ahqjCyG6fkQA,"SDR Associates
5.0
Accounting firm · Madan Bhandari Road
Open · Closes 5 PM · 01-5350625

Website
"
Accounting firm in Nepal,https://taxconsultantnp.com/,,980-2360821,https://maps.app.goo.gl/KxkXNwYzaKdf1paL7,"Accounting firm in Nepal
4.5
Accounting firm · P7FX+P7G
980-2360821

Website

Directions"
"R&P Associates, Chartered Accountants",,,,https://maps.app.goo.gl/gCr6rtzRT4NRCqht7,"R&P Associates, Chartered Accountants
5.0
Chartered accountant · M8VQ+7W7, Sangam Chowk Marg
Open · "
Advance Accounting & Tax Solution,https://www.aats.com.np/,,01-5970700,https://maps.app.goo.gl/CXz63ayNRhbLEfKa8,"Advance Accounting & Tax Solution
5.0
Tax preparation service ·  · M8PR+QWW, Shantinagar Gate ,Tink"
CSC & Co.,http://cscnepal.com/,csc@cscnepal.com,01-4004580,https://maps.app.goo.gl/Kh12RcV669YeBx458,"CSC & Co.
5.0
Certified public accountant · P88H+XC7 175 Mahamati Bhawan, Gairidhara Marg
Open · Clo"
"Shankar Associates, Chartered Accountants",http://www.saca.com.np/,info@saca.com.np,984-1409889,https://maps.app.goo.gl/PixCg6JLULtLgPU18,"Shankar Associates, Chartered Accountants
4.3
Chartered accountant
Open · Closes 6 PM · 984-1409889
"
Subhash & Co,http://snco.com.np/,info@snco.com.np,01-4597223,https://maps.app.goo.gl/Y47mSyniGLagRwCM7,"Subhash & Co
4.5
Accountant · P82P+G9W, Tanka Prasad Marg
Open · Closes 6 PM · 01-4597223

Website
"
Bhrikuti Advisors [Accountants],https://bhrikutiadvisors.com/,contact@bhrikutiadvisors.com,100 100,https://maps.app.goo.gl/MFiY1jd9M5pCwKaa8,"Bhrikuti Advisors [Accountants]
5.0
Accounting firm · Tara Marg
Open · Closes 8 PM

Website

Direc"
"YBS & Associates, Chartered Accountants, Butwal",,,985-1125753,https://maps.app.goo.gl/GeHJ43md6CHA7HRQ8,"YBS & Associates, Chartered Accountants, Butwal
4.9
Certified public accountant · Aawash Path
Open ·"
Advocate Ganesh Bahadur Thapa,http://www.ganeshthapa.com/,,976-2566992,https://maps.app.goo.gl/KM51moMaNG4pHYdF7,"Advocate Ganesh Bahadur Thapa
5.0
Lawyer · Between, Barahi chwok
Open · Closes 12 AM · 976-2566992
"
Real Accounting Solutions Pvt. Ltd.,https://www.facebook.com/profile.php?id=100067403100491,,974-2913625,https://maps.app.goo.gl/hViedgBh1pWEiuJj6,"Real Accounting Solutions Pvt. Ltd.
No reviews
Accounting firm
Open · Closes 5 PM · 974-2913625

We"
"S&S Associates,Chartered Accountants",,,01-4796303,https://maps.app.goo.gl/uFdZHnHS2SUxmhzt6,"S&S Associates,Chartered Accountants
3.9
Accounting firm · Danphe Chari Marg
Open · Closes 5 PM · 01"
Accounting and financial solution Pvt Ltd,,,985-1055536,https://maps.app.goo.gl/BZ2cLr2WP8xMiF798,"Accounting and financial solution Pvt Ltd
4.0
Accounting firm · M8RH+XQ6, भक्ति थापा सडक
Open · Clos"
S.K. SAH & ASSOCIATES,,,982-5256642,https://maps.app.goo.gl/L3e2FgbAKmHjgWwu6,"S.K. SAH & ASSOCIATES
5.0
Certified public accountant · 14 कलंकी
Open · Closes 5 PM · 982-5256642

"
Skp Audit Office,,,985-7016001,https://maps.app.goo.gl/WT2NRyHrVLuPv3cf7,"Skp Audit Office
4.5
Accounting firm · Anandbag Near Radha Krishna Mandir
Open · Closes 5 PM · 985-7"
"SBKC & Associates, Chartered Accountants",http://www.sbkcassociates.com.np/,info@sbkcassociates.com.np,980-1117140,https://maps.app.goo.gl/UYp6FCAY3DevkjSLA,"SBKC & Associates, Chartered Accountants
5.0
Auditor · 80 metres east to Pulchowk Engineering Campus"
"S.S.A. Associates, Chartered Accountants",http://ssanepal.com/,hr@ssanepal.com,01-5359874,https://maps.app.goo.gl/eBmHUJLk1PHrENxEA,"S.S.A. Associates, Chartered Accountants
5.0
Accounting firm · Sama Marga
Open · Closes 5 PM · 01-53"
Poshak & Company,,,01-4596551,https://maps.app.goo.gl/WaE5TgBSx8brrByH7,"Poshak & Company
5.0
Accounting firm · chabahil Opposite of pashupati Multiple Campus
Open now · 01-"
"Manavi Legal Associates, Pokhara",,,986-7255516,https://maps.app.goo.gl/8SKPDDrgTV9pbGXeA,"Manavi Legal Associates, Pokhara
5.0
Law firm
Open · Closes 5 PM · 986-7255516

Directions"
Shrestha R & Associates,,,984-1143727,https://maps.app.goo.gl/eGmQkpuBzKi28bw47,"Shrestha R & Associates
4.6
Business management consultant · Gokarneshwor Municipality 06
Open · Clo"
AB & Associates,https://abassociates.com.np/,info.abnca@gmail.com,01-4770528,https://maps.app.goo.gl/nJaLhchryEho4cXDA,"AB & Associates
4.8
Financial consultant ·  · Autoland Building, 2nd Floor
Open · Closes 6 PM · 01-"
Aryal Sunil Associates,http://www.asa.com.np/,,01-4530002,https://maps.app.goo.gl/2q8kkC5KTMRHiiHc9,"Aryal Sunil Associates
5.0
Auditor
Open · Closes 6:30 PM · 01-4530002

Website

Directions"
"Ashish B. & Associates, Chartered Accountants",,,985-1335731,https://maps.app.goo.gl/GaJ18iDN2N6H1PKd8,"Ashish B. & Associates, Chartered Accountants
5.0
Certified public accountant · 6th Floor, Krishna B"
D.R.Pandey & Co,,,985-1231047,https://maps.app.goo.gl/KHN7FR1TfULM6ETG6,"D.R.Pandey & Co
5.0
Accounting firm · P84H+75Q
Open · Closes 5:15 PM · 985-1231047

Directions"
G. Prakash & Associates,https://gpanepal.com/,,980-1079744,https://maps.app.goo.gl/1SvSViYcd44eVpXg9,"G. Prakash & Associates
5.0
Certified public accountant
Open · Closes 6 PM · 980-1079744

Website
"
S and P Accountancy,,,981-6409084,https://maps.app.goo.gl/XAZbbbR3pVdSXyEJ6,"S and P Accountancy
3.7
Accounting firm · MFJ8+9GH 11 IRD
Open · Closes 5 PM · 981-6409084

Directi"
Sparkle ABC,,,986-0009866,https://maps.app.goo.gl/tcQXRntvWGobfdbX7,"Sparkle ABC
5.0
Accounting firm · P88F+VHW Pepsicola Jadibuti to Pepsicola
Open · Closes 5 PM · 986-"
Sathi Accounting & Tax Solution Pvt.Ltd.,,,984-3196731,https://maps.app.goo.gl/ovZbgfgeHnGdbgPX8,"Sathi Accounting & Tax Solution Pvt.Ltd.
5.0
Financial audit
Open · Closes 5 PM · 984-3196731

Dire"
H. L. Sapkota & Co.,,,984-1442449,https://maps.app.goo.gl/E37u52dyq1HaUGdx8,"H. L. Sapkota & Co.
5.0
Certified public accountant · P94V+565
Open · Closes 5 PM · 984-1442449

Di"
"A.B.S. & Associates, Chartered Accountants",http://www.absa.com.np/,info@absa.com.np,01-4423013,https://maps.app.goo.gl/d1SSSpSZpkAARQeh7,"A.B.S. & Associates, Chartered Accountants
4.0
Chartered accountant ·  · Banshidhar Marg
Open · Clo"
"NK Joshi & Co., Chartered Accountants",http://www.nkjoshi.com.np/,,01-4544251,https://maps.app.goo.gl/C94Diynbr4odjGG56,"NK Joshi & Co., Chartered Accountants
4.3
Corporate office · P86H+47F, Thirbum Marg
Open · Closes 5 "
TR & Associates,,,,https://maps.app.goo.gl/zJqwTjtQ9M8zrTw66,"TR & Associates
No reviews
Accounting firm · M986+7QR
Open 24 hours

Directions"
